ID,CAI
%2B3ewi8VLqI8BqfOC%2F4jmUyOwhunaQjenxx0QtPTKNM8%3D,0.1445195195195195
%2B3pbCFJ84sb%2Bj4A3z4c4RyLPi3ACFSqf%2FFLbiRw5pD8%3D,0.0
%2B3qAvdQxnlrXn%2FXSsqix5lGBCdlGDgSli8AOcqbZ5U0%3D,0.0
%2B3rR3wzg0INf%2BCOX6QmVKolXAECsvdDL%2FPHiac54lS8%3D,0.0
%2B4%2F3BOwbogIqvrQ%2FvEt4flKbTd0kUM6SiXOJh5qpH5M%3D,0.0
%2B4%2Ffo0X22o7oxHjRlCUKx8bUCX3mfmLGEQNXhT58Cow%3D,0.1383194829178208
%2B40iS2Dd1EDEKx0IRyFSgPeVEPziWzs3PvfAxdwR0W0%3D,0.255393180236604
%2B43bj0VYv4XYtA%2FT%2BnYZmSw6FxyiIHIUsmH9ecoiA9I%3D,0.0
%2B45%2F36qI%2BSp6czN%2FPsorRNbM7AKevYWZDqycnA8fVpA%3D,0.0
%2B455at2Kp%2BknZz5Y%2BvzquyrgdeS4c1IOJWz6QiL%2B51Y%3D,-0.38517639077340576
%2B4619tMIZpfXFAz8Tb7OivwAfdOBxIlnXZXEsvNxBww%3D,0.09583931133428975
%2B4AqTOO1fpGbLfP1ccASPPBqpfNd226u09MRReV%2FBqQ%3D,0.0
%2B4LLCC5pPNB9EjIUsxKH9O3sAjA50eqMrnHberguhS0%3D,0.0
%2B4LX%2FQvJuGTJZTUvMkr5lwgaUQ6JLh32YtHNUm18AXU%3D,-0.006399999999999977
%2B4UFspFIBpx3MbghxMo%2BD0%2BgtFSvjNZJgvViYgc07PA%3D,0.08053221288515411
%2B4e8PRABbJsE2h3l%2BX4krMxYGwk0uCKX%2BwF7TGPhXTo%3D,0.043510324483775856
%2B4evTdRtkFQgWEKRJuDyfizvVCDJ9qEK0eKi69Xqf9A%3D,0.0
%2B4iP%2FVTJXweu0gT7AIRt5eraNriTFYlFM%2Ba1xHAFpQQ%3D,-0.24104683195592277
%2B4pvRdfXaf3%2FiFQTsqZT9Q2GA1cGYnFhy43kTc1GOMA%3D,0.20378457059679764
%2B4xb4r0MLOIS9V4fWO3Q7qy4g5JJC042uPS%2BQlQ9fRs%3D,0.0
%2B57Z8c4MouAW0F4LbTJrISjDoyQBQSCHiOePb2Wsqe0%3D,0.0
%2B5BQpKT68TWdt8iXxaZ%2B53EWxWtUR5Xmo1N9glk5DeM%3D,0.0
%2B5FPoUF7qfixLBWTB4zA6CTyMcKONxAcIwVmiDuCRvI%3D,0.0
%2B5HBIa%2Fci6ocXQoOtzYLUDHHjr%2FAo50jtjYk6POOw9w%3D,0.041666666666666706
%2B5IyQvtqPzJZwNFmxk37hWsvg7tRzxxz7owh8s49g4E%3D,0.0
%2B5J6nMXZSw0ifU6d57ZpUgZwuAdOYDE0vHuT8gbFXQc%3D,0.0
%2B5S%2BBc%2FVFHj4CBX%2BN0WlwUQosbLEWvmnGTlI3dlHOX4%3D,0.0
%2B5ZHQxk6cQ9Ie%2BcuSPME7ZQlxvTNYa4DXfgHn1SzXJ4%3D,0.11750483558994206
